,Product ID,Name,Manufacturer,Case/Package,Price
CW02C10K00JE70,CW02C10K00JE70,RES 10K OHM 3.25W 5% AXIAL,Vishay Dale,Axial,₹ 132.27000
SQPR510KJ,SQPR510KJ,RES 10K OHM 5% 5W AXIAL,TE Connectivity Passive Product,Axial,₹ 53.89000
MOX70031002BZE,MOX70031002BZE,RES 10K OHM 0.1% 1/4W AXIAL,Ohmite,Axial,₹ 217.19000
LTO050F10001JTE3,LTO050F10001JTE3,RES 10K OHM 50W 5% TO220,Vishay Sfernice,TO-220-2,₹ 616.46000
FMP300FTF73-10K,FMP300FTF73-10K,RES 10K OHM 1% 3W AXIAL,YAGEO,Axial,₹ 33.48000
CFR-25JB-52-10K,CFR-25JB-52-10K,RES 10K OHM 5% 1/4W AXIAL,YAGEO,Axial,₹ 8.17000
MFR-25FBF52-10K,MFR-25FBF52-10K,RES 10K OHM 1% 1/4W AXIAL,YAGEO,Axial,₹ 8.17000
CFR-25JR-52-10K,CFR-25JR-52-10K,RES 10K OHM 5% 1/4W AXIAL,YAGEO,Axial,₹ 0.72195
MBA02040C1002FCT00,MBA02040C1002FCT00,RES 10K OHM 0.4W 1% AXIAL,Vishay Beyschlag/Draloric/BC Components,Axial,₹ 19.60000
CFS1/4CT52R103J,CFS1/4CT52R103J,RES 10K OHM 5% 1/4W AXIAL,"KOA Speer Electronics, Inc.",Axial,₹ 8.17000
RSMF2JT10K0,RSMF2JT10K0,RES 10K OHM 5% 2W AXIAL,Stackpole Electronics Inc,Axial,₹ 23.68000
43J10KE,43J10KE,RES 10K OHM 5% 3W AXIAL,Ohmite,Axial,₹ 217.19000
RTO020F10001JTE3,RTO020F10001JTE3,RES 10K OHM 20W 5% TO220,Vishay Sfernice,TO-220-2,₹ 836.91000
CMF6010K000FHBF,CMF6010K000FHBF,RES 10K OHM 1W 1% AXIAL,Vishay Dale,Axial,₹ 424.58000
MBB02070C1002FCT00,MBB02070C1002FCT00,RES 10K OHM 0.6W 1% AXIAL,Vishay Beyschlag/Draloric/BC Components,Axial,₹ 24.50000
MBB0207VD1002BC100,MBB0207VD1002BC100,RES 10K OHM 0.1% 0.4W AXIAL,Vishay Beyschlag/Draloric/BC Components,Axial,₹ 54.71000
SBCHE610KJ,SBCHE610KJ,RES 10K OHM 5% 7W AXIAL,TE Connectivity Passive Product,"Axial, Radial Formed",₹ 90.63000
CFR-12JT-52-10K,CFR-12JT-52-10K,RES 10K OHM 5% 1/6W AXIAL,YAGEO,Axial,₹ 8.17000
RN60C1002FB14,RN60C1002FB14,RES 10K OHM 1/4W 1% AXIAL,Vishay Dale,Axial,₹ 424.58000
RN60D1002FB14,RN60D1002FB14,RES 10K OHM 1/4W 1% AXIAL,Vishay Dale,Axial,₹ 424.58000
